CustomerID,Gender,Region,SignupChannel,PreferredCategory,Age,AnnualIncome,TenureMonths,LoyaltyMember,WebsiteVisitsPerMonth,EmailOpenRate,SupportTickets,DiscountUsedPct,NumPurchases,AvgOrderValue,TotalSpend,LastPurchaseDaysAgo,WillPurchaseNextMonth
CUST100001,Male,East,Referral,Home & Living,46,69894.76,12,1,11,0.256,0,0.277,5,90.35,454.49,53,0
CUST100002,Male,East,Organic,Sports,38,82596.78,12,1,6,0.507,2,0.32,8,80.97,617.81,100,1
CUST100003,Male,West,Social Media,Groceries,48,47855.39,45,1,14,0.242,2,0.27,5,93.58,475.71,1,1
CUST100004,Male,North,Referral,Sports,60,42529.32,45,1,9,0.45,0,0.333,11,89.41,985.96,1,0
CUST100005,Male,East,Referral,Electronics,37,34868.02,15,1,5,0.368,3,0.371,4,100.09,439.96,82,1
CUST100006,Female,West,Organic,Groceries,37,38887.03,32,0,7,0.302,2,0.148,6,85.26,573.38,95,0
CUST100007,Female,South,Referral,Fashion,61,180000.0,35,0,6,0.224,1,0.205,5,168.07,852.24,124,0
CUST100008,Female,West,Social Media,Electronics,50,92767.71,29,1,18,0.602,1,0.109,10,90.16,931.78,6,1
CUST100009,Male,North,Referral,Groceries,34,31183.28,49,0,10,0.607,0,0.176,6,75.2,450.63,13,1
CUST100010,Male,East,Other,Electronics,47,31560.33,22,1,9,0.396,3,0.136,8,95.98,802.2,29,1
CUST100011,Male,West,Other,Beauty,34,67337.48,23,0,7,0.362,4,0.474,4,96.58,424.42,146,0
CUST100012,Other,East,Organic,Groceries,34,69212.7,49,0,10,0.149,1,0.453,4,92.34,432.57,76,1
CUST100013,Female,South,Organic,Groceries,43,69259.78,12,0,10,0.32,1,0.406,7,58.63,324.09,46,0
CUST100014,Female,North,Social Media,Electronics,18,49414.89,44,0,0,0.309,1,0.392,8,41.47,357.54,106,0
CUST100015,Male,West,Referral,Electronics,18,52177.03,62,1,11,0.246,2,0.078,7,66.41,452.81,74,1
CUST100016,Female,South,Organic,Beauty,33,63120.31,38,0,7,0.625,1,0.126,4,94.28,398.29,300,1
CUST100017,Male,North,Organic,Home & Living,27,57020.35,28,0,3,0.359,1,0.374,1,47.52,69.83,191,0
CUST100018,Female,East,Search,Electronics,44,21654.8,13,1,12,0.455,1,0.143,6,93.47,524.98,36,1
CUST100019,Female,South,Social Media,Fashion,28,49939.75,32,0,14,0.315,1,0.383,10,74.03,665.0,68,0
CUST100020,Female,North,Organic,Home & Living,22,38464.76,18,1,11,0.488,1,0.18,7,75.92,546.22,17,1
CUST100021,Female,North,Organic,Electronics,59,59200.03,24,1,12,0.336,2,0.61,8,133.44,1049.72,33,0
CUST100022,Male,North,Other,Home & Living,37,180000.0,35,1,15,0.495,0,0.383,6,167.44,1035.47,15,1
CUST100023,Female,East,Social Media,Groceries,41,64178.96,17,1,6,0.263,0,0.549,8,83.59,661.09,32,1
CUST100024,Female,East,Search,Groceries,21,48214.06,14,0,1,0.501,1,0.06,4,91.07,397.27,84,0
CUST100025,Male,East,Social Media,Fashion,33,81003.29,21,1,11,0.372,0,0.428,5,100.29,516.39,75,1
CUST100026,Male,West,Referral,Fashion,41,67360.72,58,1,8,0.499,1,0.302,8,112.22,833.96,65,1
CUST100027,Male,West,Social Media,Fashion,25,65612.94,35,1,4,0.419,5,0.4,3,85.17,255.92,147,0
CUST100028,Male,East,Referral,Home & Living,45,70966.68,18,0,7,0.193,2,0.252,8,67.06,536.47,1,0
CUST100029,Male,North,Organic,Sports,32,130461.93,19,1,11,0.626,0,0.102,3,115.91,333.05,116,1
